原文	语言	首选简中译名	别名	类别	适用作品	备注	依据	状态
キャンプキャップ	ja	露营帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP001	verified
Takoroka Mesh	en	暇古网帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP002	verified
ヤコメッシュ	ja	暇古网帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP002	verified
Streetstyle Cap	en	饮料标志帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP003	verified
ビバレッジキャップ	ja	饮料标志帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP003	verified
Squid-Stitch Cap	en	千鸟帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP004	verified
チドリキャップ	ja	千鸟帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP004	verified
Squidvader Cap	en	墨行帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP005	verified
イカベーダーキャップ	ja	墨行帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP005	verified
Camo Mesh	en	迷彩网帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP006	verified
カモメッシュ	ja	迷彩网帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP006	verified
Five-Panel Cap	en	五分割帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP007	verified
5パネルキャップ	ja	五分割帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP007	verified
Zekko Mesh	en	泽酷网帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP008	verified
エゾッコメッシュ	ja	泽酷网帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP008	verified
Backward Cap	en	反戴帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP009	verified
バックワードキャップ	ja	反戴帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP009	verified
Two-Stripe Mesh	en	双线网帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP010	verified
2ラインメッシュ	ja	双线网帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP010	verified
Jet Cap	en	喷射帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP011	verified
ジェットキャップ	ja	喷射帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP011	verified
Cycling Cap	en	单车帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP012	verified
テッカサイクルキャップ	ja	单车帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP012	verified
Cycle King Cap	en	单车王者帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP014	verified
チャリキング帽	ja	单车王者帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP014	verified
Long-Billed Cap	en	长帽檐帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP018	verified
ロングビルキャップ	ja	长帽檐帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP018	verified
King Flip Mesh	en	王者翻檐网帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP019	verified
キングフリップメッシュ	ja	王者翻檐网帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP019	verified
Hickory Work Cap	en	山核桃条纹工作帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP020	verified
ヒッコリーワークキャップ	ja	山核桃条纹工作帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP020	verified
Woolly Urchins Classic	en	羊毛海胆经典帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP021	verified
ウールウーニーズクラシック	ja	羊毛海胆经典帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP021	verified
Jellyvader Cap	en	位元水母帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP023	verified
クラゲーダーキャップ	ja	位元水母帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP023	verified
House-Tag Denim Cap	en	房屋标签牛仔帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP024	verified
ハウスタグデニムCAP	ja	房屋标签牛仔帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP024	verified
Blowfish Newsie	en	河豚狩猎帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP025	verified
フグハンチング	ja	河豚狩猎帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP025	verified
Do-Rag, Cap & Glasses	en	嘻哈头巾配帽子		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP026	verified
ドゥーラグキャップガサネ	ja	嘻哈头巾配帽子		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP026	verified
Pilot Hat	en	飞行帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP027	verified
フライトぼう	ja	飞行帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP027	verified
Ink-Black Flap Cap	en	遮阳帽 墨黑		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP028	verified
シェーディングキャップ スミ	ja	遮阳帽 墨黑		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP028	verified
Coral Cap	en	珊瑚帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP029	verified
コーラルキャップ	ja	珊瑚帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP029	verified
Barrelfish Baseball Hat	en	条石鲷条纹帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP030	verified
イシダイストライプスキャップ	ja	条石鲷条纹帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP030	verified
Cap'n Cap	en	海军风帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP031	verified
マリンキャップ	ja	海军风帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP031	verified
Vintage Biker Cap	en	飞鱼骑行帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP032	verified
フライカーキャップ	ja	飞鱼骑行帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP032	verified
Flounder Flap Cap	en	反戴狩猎帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP033	verified
グンチンハ	ja	反戴狩猎帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP033	verified
Dustcloud Cap	en	迷彩帽 土遁		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP034	verified
カモキャップ ドトン	ja	迷彩帽 土遁		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP034	verified
Seafoam Cap	en	迷彩帽 水遁		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP035	verified
カモキャップ スイトン	ja	迷彩帽 水遁		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP035	verified
Wharfside Cap	en	瓜皮帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP036	verified
フィッシャーマンキャップ	ja	瓜皮帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP036	verified
Clue-Detecting Cap	en	棱纹猎鹿帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP037	verified
ブリムリブハット	ja	棱纹猎鹿帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP037	verified
Headlamp Hat	en	夜行帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP038	verified
ナイトハイクキャップ	ja	夜行帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP038	verified
Swim Cap	en	泳帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP039	verified
スイムキャップ	ja	泳帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#CAP039	verified
バイトヘルメット オレンジ	en	バイトヘルメット オレンジ		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP001	verified
バイトヘルメット オレンジ	ja	バイトヘルメット オレンジ		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP001	verified
バイトヘルメット グリーン	en	バイトヘルメット グリーン		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP002	verified
バイトヘルメット グリーン	ja	バイトヘルメット グリーン		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP002	verified
バイトヘルメット イエロー	en	バイトヘルメット イエロー		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP003	verified
バイトヘルメット イエロー	ja	バイトヘルメット イエロー		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP003	verified
バイトヘルメット ピンク	en	バイトヘルメット ピンク		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP004	verified
バイトヘルメット ピンク	ja	バイトヘルメット ピンク		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP004	verified
バイトヘルメット ブルー	en	バイトヘルメット ブルー		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP005	verified
バイトヘルメット ブルー	ja	バイトヘルメット ブルー		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP005	verified
バイトヘルメット ブラック	en	バイトヘルメット ブラック		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP006	verified
バイトヘルメット ブラック	ja	バイトヘルメット ブラック		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP006	verified
バイトヘルメット ホワイト	en	バイトヘルメット ホワイト		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP007	verified
バイトヘルメット ホワイト	ja	バイトヘルメット ホワイト		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP007	verified
バイトキャップ グリーン	en	バイトキャップ グリーン		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP008	verified
バイトキャップ グリーン	ja	バイトキャップ グリーン		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP008	verified
バイトキャップ グレー	en	バイトキャップ グレー		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP009	verified
バイトキャップ グレー	ja	バイトキャップ グレー		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP009	verified
バイトキャップ ブルー	en	バイトキャップ ブルー		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP010	verified
バイトキャップ ブルー	ja	バイトキャップ ブルー		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP010	verified
バイトキャップ ブラック	en	バイトキャップ ブラック		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP011	verified
バイトキャップ ブラック	ja	バイトキャップ ブラック		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP011	verified
バイトヘルメット ネオン	en	バイトヘルメット ネオン		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP012	verified
バイトヘルメット ネオン	ja	バイトヘルメット ネオン		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP012	verified
バイトヘルメット カーキ	en	バイトヘルメット カーキ		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP013	verified
バイトヘルメット カーキ	ja	バイトヘルメット カーキ		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP013	verified
バイトヘルメット レッド	en	バイトヘルメット レッド		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP014	verified
バイトヘルメット レッド	ja	バイトヘルメット レッド		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP014	verified
バイトキャップ ホワイト	en	バイトキャップ ホワイト		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP015	verified
バイトキャップ ホワイト	ja	バイトキャップ ホワイト		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP015	verified
バイトキャップ イエロー	en	バイトキャップ イエロー		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP016	verified
バイトキャップ イエロー	ja	バイトキャップ イエロー		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP016	verified
バイトキャップ ネイビー	en	バイトキャップ ネイビー		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP017	verified
バイトキャップ ネイビー	ja	バイトキャップ ネイビー		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP017	verified
バイトヘルメット シルバー	en	バイトヘルメット シルバー		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP018	verified
バイトヘルメット シルバー	ja	バイトヘルメット シルバー		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP018	verified
バイトヘルメット ゴールド	en	バイトヘルメット ゴールド		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP019	verified
バイトヘルメット ゴールド	ja	バイトヘルメット ゴールド		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP019	verified
バイトヘルメット プリズム	en	バイトヘルメット プリズム		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP020	verified
バイトヘルメット プリズム	ja	バイトヘルメット プリズム		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP020	verified
バイトヘルメット ブロッカー	en	バイトヘルメット ブロッカー		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP021	verified
バイトヘルメット ブロッカー	ja	バイトヘルメット ブロッカー		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP021	verified
Headlamp Helmet	en	头灯钢盔		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP100	verified
ヘッドライトヘルム	ja	头灯钢盔		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP100	verified
Dust Blocker 2000	en	防尘口罩2.5		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP101	verified
ダストブロッカー 2.5	ja	防尘口罩2.5		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP101	verified
Welding Mask	en	钢铁面具		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP102	verified
アイアンマスカレイド	ja	钢铁面具		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP102	verified
Beekeeper Hat	en	守卫军圆边帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP103	verified
ガーディアンアーミーハット	ja	守卫军圆边帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP103	verified
Octoleet Goggles	en	女战士风望远镜		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP104	verified
ゾネスティックスコープ	ja	女战士风望远镜		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP104	verified
Cap of Legend	en	传奇帽子		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP105	verified
レジェンドのぼうし	ja	传奇帽子		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP105	verified
Worker's Head Towel	en	止汗头巾		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP107	verified
アセストップソシナ	ja	止汗头巾		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP107	verified
Worker's Cap	en	抽绳帽 复制		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP108	verified
スペボウ レプリカ	ja	抽绳帽 复制		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP108	verified
Sailor Cap	en	别针海军圆边帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP109	verified
マリリンハットウィズピンズ	ja	别针海军圆边帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP109	verified
Bream-Brim Cap	en	金线鱼帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP110	verified
イトヨリキャップ	ja	金线鱼帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP110	verified
Lo-Vis Visor	en	视野中空遮阳帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP111	verified
シカイバイザー	ja	视野中空遮阳帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP111	verified
Five-Alarm Helmet	en	消防盔		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP112	verified
カジカブト	ja	消防盔		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP112	verified
Astro Helm	en	飞行员安全帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP113	verified
パイロットメット	ja	飞行员安全帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP113	verified
360 All-Scopes	en	高科技望远镜		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP114	verified
ハイテクスコープ	ja	高科技望远镜		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP114	verified
Brain Strainer	en	灵光一闪安全帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP115	verified
ヒラメキブレインメット	ja	灵光一闪安全帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP115	verified
Deep Sinker Helm	en	蛸壶安全帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP116	verified
タコツボメット	ja	蛸壶安全帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP116	verified
Commander Cap	en	守卫者帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP117	verified
ガーディアンズキャップ	ja	守卫者帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP117	verified
See-an-Enemy HUD	en	视魄UD		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP118	verified
マルミエールUD	ja	视魄UD		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP118	verified
Retro Future Helmet	en	超未来头盔		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP119	verified
ハイパーミライヘッド	ja	超未来头盔		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP119	verified
3D Glasses	en	3D眼镜		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP120	verified
ウキアガールRB	ja	3D眼镜		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP120	verified
El Rey Calamar	en	El Calamares		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#COP121	verified
