原文	语言	首选简中译名	别名	类别	适用作品	备注	依据	状态
Sturgeon Shipyard	en	鲟鱼造船厂		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Nagasaki	verified
チョウザメ造船	ja	鲟鱼造船厂		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Nagasaki	verified
Manta Maria	en	鬼蝠鲼玛利亚号		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Pillar	verified
マンタマリア号	ja	鬼蝠鲼玛利亚号		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Pillar	verified
Museum d'Alfonsino	en	金眼鲷美术馆		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Pivot	verified
キンメダイ美術館	ja	金眼鲷美术馆		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Pivot	verified
Marlin Airport	en	旗鱼机场		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Propeller	verified
カジキ空港	ja	旗鱼机场		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Propeller	verified
Random	en	随机		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Random	verified
ランダム	ja	随机		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Random	verified
Bluefin Depot	en	葱鲔鱼煤矿场		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Ruins	verified
ネギトロ炭鉱	ja	葱鲔鱼煤矿场		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Ruins	verified
Mincemeat Metalworks	en	鱼肉碎金属		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Scrap	verified
ナメロウ金属	ja	鱼肉碎金属		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Scrap	verified
Barnacle & Dime	en	塔拉波特购物公园		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Section	verified
タラポートショッピングパーク	ja	塔拉波特购物公园		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Section	verified
Crableg Capital	en	高脚经济特区		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Spider	verified
タカアシ経済特区	ja	高脚经济特区		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Spider	verified
Undertow Spillway	en	竹蛏疏洪道		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Temple	verified
マテガイ放水路	ja	竹蛏疏洪道		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Temple	verified
Shipshape Cargo Co.	en	大比目鱼海运中心		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Twist	verified
オヒョウ海運	ja	大比目鱼海运中心		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Twist	verified
???	en	？？？		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Unknown	verified
？？？	ja	？？？		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Unknown	verified
Inkblot Art Academy	en	海女美术大学		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Upland	verified
海女美術大学	ja	海女美术大学		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Upland	verified
Humpback Pump Track	en	昆布赛道		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Wave	verified
コンブトラック	ja	昆布赛道		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Wave	verified
Hagglefish Market	en	烟管鱼市场		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Yagara	verified
ヤガラ市場	ja	烟管鱼市场		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Yagara	verified
Scorch Gorge	en	温泉花大峡谷		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Yunohana	verified
ユノハナ大渓谷	ja	温泉花大峡谷		对战地图	斯普拉遁3		游戏语言文件：CommonMsg/VS/VSStageName#Yunohana	verified
Multiple Sites	en	各地同时发生		鲑鱼跑地图	斯普拉遁3		游戏语言文件：CommonMsg/Coop/CoopStageName#Random	verified
各地で同時発生	ja	各地同时发生		鲑鱼跑地图	斯普拉遁3		游戏语言文件：CommonMsg/Coop/CoopStageName#Random	verified
Gone Fission Hydroplant	en	麦年海洋发电所		鲑鱼跑地图	斯普拉遁3		游戏语言文件：CommonMsg/Coop/CoopStageName#Shakedent	verified
ムニ・エール海洋発電所	ja	麦年海洋发电所		鲑鱼跑地图	斯普拉遁3		游戏语言文件：CommonMsg/Coop/CoopStageName#Shakedent	verified
Jammin' Salmon Junction	en	生筋子系统交流道遗址		鲑鱼跑地图	斯普拉遁3		游戏语言文件：CommonMsg/Coop/CoopStageName#Shakehighway	verified
すじこジャンクション跡	ja	生筋子系统交流道遗址		鲑鱼跑地图	斯普拉遁3		游戏语言文件：CommonMsg/Coop/CoopStageName#Shakehighway	verified
Salmonid Smokeyard	en	时不知鲑烟熏工房		鲑鱼跑地图	斯普拉遁3		游戏语言文件：CommonMsg/Coop/CoopStageName#Shakelift	verified
トキシラズいぶし工房	ja	时不知鲑烟熏工房		鲑鱼跑地图	斯普拉遁3		游戏语言文件：CommonMsg/Coop/CoopStageName#Shakelift	verified
Bonerattle Arena	en	鲑鱼心脏斗技场		鲑鱼跑地图	斯普拉遁3		游戏语言文件：CommonMsg/Coop/CoopStageName#Shakerail	verified
どんぴこ闘技場	ja	鲑鱼心脏斗技场		鲑鱼跑地图	斯普拉遁3		游戏语言文件：CommonMsg/Coop/CoopStageName#Shakerail	verified
Marooner's Bay	en	漂浮落难船		鲑鱼跑地图	斯普拉遁3		游戏语言文件：CommonMsg/Coop/CoopStageName#Shakeship	verified
難破船ドン・ブラコ	ja	漂浮落难船		鲑鱼跑地图	斯普拉遁3		游戏语言文件：CommonMsg/Coop/CoopStageName#Shakeship	verified
Sockeye Station	en	新卷堡		鲑鱼跑地图	斯普拉遁3		游戏语言文件：CommonMsg/Coop/CoopStageName#Shakespiral	verified
アラマキ砦	ja	新卷堡		鲑鱼跑地图	斯普拉遁3		游戏语言文件：CommonMsg/Coop/CoopStageName#Shakespiral	verified
Spawning Grounds	en	鲑坝		鲑鱼跑地图	斯普拉遁3		游戏语言文件：CommonMsg/Coop/CoopStageName#Shakeup	verified
シェケナダム	ja	鲑坝		鲑鱼跑地图	斯普拉遁3		游戏语言文件：CommonMsg/Coop/CoopStageName#Shakeup	verified
