原文	语言	首选简中译名	别名	类别	适用作品	备注	依据	状态
ワイパー	ja	刮水刀	刀	武器类别	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponTypeName#Saber	verified
Grizzco Blaster	en	熊先生印章爆破枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Bear_Coop	verified
クマサン印のブラスター	ja	熊先生印章爆破枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Bear_Coop	verified
Rapid Blaster Pro	en	快速爆破枪 精英		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_LightLong_00	verified
Rブラスターエリート	ja	快速爆破枪 精英		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_LightLong_00	verified
Rapid Blaster Pro Deco	en	快速爆破枪 精英装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_LightLong_01	verified
Rブラスターエリートデコ	ja	快速爆破枪 精英装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_LightLong_01	verified
Rapid Blaster Pro WNT-R	en	快速爆破枪 精英WNTR		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_LightLong_02	verified
RブラスターエリートWNTR	ja	快速爆破枪 精英WNTR		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_LightLong_02	verified
Clash Blaster	en	冲涂爆破枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_LightShort_00	verified
クラッシュブラスター	ja	冲涂爆破枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_LightShort_00	verified
Clash Blaster Neo	en	冲涂爆破枪 新型		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_LightShort_01	verified
クラッシュブラスターネオ	ja	冲涂爆破枪 新型		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_LightShort_01	verified
Rapid Blaster	en	快速爆破枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Light_00	verified
ラピッドブラスター	ja	快速爆破枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Light_00	verified
Rapid Blaster Deco	en	快速爆破枪 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Light_01	verified
ラピッドブラスターデコ	ja	快速爆破枪 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Light_01	verified
Range Blaster	en	远距爆破枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Long_00	verified
ロングブラスター	ja	远距爆破枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Long_00	verified
Custom Range Blaster	en	远距爆破枪 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Long_01	verified
ロングブラスターカスタム	ja	远距爆破枪 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Long_01	verified
Blaster	en	火热爆破枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Middle_00	verified
ホットブラスター	ja	火热爆破枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Middle_00	verified
Custom Blaster	en	火热爆破枪 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Middle_01	verified
ホットブラスターカスタム	ja	火热爆破枪 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Middle_01	verified
Gleamz Blaster	en	火热爆破枪 艳		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Middle_02	verified
ホットブラスター艶	ja	火热爆破枪 艳		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Middle_02	verified
S-BLAST '92	en	S-BLAST92		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Precision_00	verified
S-BLAST92	ja	S-BLAST92		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Precision_00	verified
S-BLAST '91	en	S-BLAST91		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Precision_01	verified
S-BLAST91	ja	S-BLAST91		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Precision_01	verified
Luna Blaster	en	新星爆破枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Short_00	verified
ノヴァブラスター	ja	新星爆破枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Short_00	verified
Luna Blaster Neo	en	新星爆破枪 新型		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Short_01	verified
ノヴァブラスターネオ	ja	新星爆破枪 新型		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Short_01	verified
Order Blaster Replica	en	秩序爆破枪 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Short_O	verified
オーダーブラスター レプリカ	ja	秩序爆破枪 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Blaster_Short_O	verified
Painbrush	en	文森		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Brush_Heavy_00	verified
フィンセント	ja	文森		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Brush_Heavy_00	verified
Painbrush Nouveau	en	文森·新艺术		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Brush_Heavy_01	verified
フィンセント・ヒュー	ja	文森·新艺术		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Brush_Heavy_01	verified
Painbrush BRN-Z	en	文森BRNZ		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Brush_Heavy_02	verified
フィンセントBRNZ	ja	文森BRNZ		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Brush_Heavy_02	verified
Inkbrush	en	巴勃罗		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Brush_Mini_00	verified
パブロ	ja	巴勃罗		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Brush_Mini_00	verified
Inkbrush Nouveau	en	巴勃罗·新艺术		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Brush_Mini_01	verified
パブロ・ヒュー	ja	巴勃罗·新艺术		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Brush_Mini_01	verified
Octobrush	en	北斋		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Brush_Normal_00	verified
ホクサイ	ja	北斋		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Brush_Normal_00	verified
Octobrush Nouveau	en	北斋·新艺术		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Brush_Normal_01	verified
ホクサイ・ヒュー	ja	北斋·新艺术		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Brush_Normal_01	verified
Cometz Octobrush	en	北斋 彗		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Brush_Normal_02	verified
ホクサイ彗	ja	北斋 彗		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Brush_Normal_02	verified
Orderbrush Replica	en	秩序排刷 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Brush_Normal_O	verified
オーダーブラシ レプリカ	ja	秩序排刷 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Brush_Normal_O	verified
Grizzco Charger	en	熊先生印章狙击枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Bear_Coop	verified
クマサン印のチャージャー	ja	熊先生印章狙击枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Bear_Coop	verified
Goo Tuber	en	高压油管枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Keeper_00	verified
ソイチューバー	ja	高压油管枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Keeper_00	verified
Custom Goo Tuber	en	高压油管枪 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Keeper_01	verified
ソイチューバーカスタム	ja	高压油管枪 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Keeper_01	verified
Bamboozler 14 Mk I	en	14式竹筒枪·甲		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Light_00	verified
14式竹筒銃・甲	ja	14式竹筒枪·甲		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Light_00	verified
Bamboozler 14 Mk II	en	14式竹筒枪·乙		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Light_01	verified
14式竹筒銃・乙	ja	14式竹筒枪·乙		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Light_01	verified
E-liter 4K Scope	en	4K准星枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_LongScope_00	verified
4Kスコープ	ja	4K准星枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_LongScope_00	verified
Custom E-liter 4K Scope	en	4K准星枪 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_LongScope_01	verified
4Kスコープカスタム	ja	4K准星枪 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_LongScope_01	verified
E-liter 4K	en	公升4K		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Long_00	verified
リッター4K	ja	公升4K		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Long_00	verified
Custom E-liter 4K	en	公升4K 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Long_01	verified
リッター4Kカスタム	ja	公升4K 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Long_01	verified
Splatterscope	en	斯普拉准星枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_NormalScope_00	verified
スプラスコープ	ja	斯普拉准星枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_NormalScope_00	verified
Z+F Splatterscope	en	斯普拉准星枪 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_NormalScope_01	verified
スプラスコープコラボ	ja	斯普拉准星枪 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_NormalScope_01	verified
Splatterscope CAM-O	en	斯普拉准星枪FRST		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_NormalScope_02	verified
スプラスコープFRST	ja	斯普拉准星枪FRST		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_NormalScope_02	verified
Splat Charger	en	斯普拉蓄力狙击枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Normal_00	verified
スプラチャージャー	ja	斯普拉蓄力狙击枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Normal_00	verified
Z+F Splat Charger	en	斯普拉蓄力狙击枪 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Normal_01	verified
スプラチャージャーコラボ	ja	斯普拉蓄力狙击枪 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Normal_01	verified
Splat Charger CAM-O	en	斯普拉蓄力狙击枪FRST		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Normal_02	verified
スプラチャージャーFRST	ja	斯普拉蓄力狙击枪FRST		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Normal_02	verified
Order Charger Replica	en	秩序蓄力狙击枪 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Normal_O	verified
オーダーチャージャー レプリカ	ja	秩序蓄力狙击枪 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Normal_O	verified
Snipewriter 5H	en	R-PEN/5H		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Pencil_00	verified
R-PEN/5H	ja	R-PEN/5H		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Pencil_00	verified
Snipewriter 5B	en	R-PEN/5B		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Pencil_01	verified
R-PEN/5B	ja	R-PEN/5B		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Pencil_01	verified
Classic Squiffer	en	鱿快洁α		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Quick_00	verified
スクイックリンα	ja	鱿快洁α		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Quick_00	verified
New Squiffer	en	鱿快洁β		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Quick_01	verified
スクイックリンβ	ja	鱿快洁β		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Charger_Quick_01	verified
Grizzco Dualies	en	熊先生印章机动枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Bear_Coop	verified
クマサン印のマニューバー	ja	熊先生印章机动枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Bear_Coop	verified
Dualie Squelchers	en	双重清洁枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Dual_00	verified
デュアルスイーパー	ja	双重清洁枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Dual_00	verified
Custom Dualie Squelchers	en	双重清洁枪 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Dual_01	verified
デュアルスイーパーカスタム	ja	双重清洁枪 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Dual_01	verified
Hoofz Dualie Squelchers	en	双重清洁枪 蹄		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Dual_02	verified
デュアルスイーパー蹄	ja	双重清洁枪 蹄		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Dual_02	verified
Glooga Dualies	en	开尔文525		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Gallon_00	verified
ケルビン525	ja	开尔文525		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Gallon_00	verified
Glooga Dualies Deco	en	开尔文525 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Gallon_01	verified
ケルビン525デコ	ja	开尔文525 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Gallon_01	verified
Douser Dualies FF	en	灭熄FF		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Long_00	verified
ガエンFF	ja	灭熄FF		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Long_00	verified
Custom Douser Dualies FF	en	灭熄FF 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Long_01	verified
ガエンFFカスタム	ja	灭熄FF 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Long_01	verified
Splat Dualies	en	斯普拉机动枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Normal_00	verified
スプラマニューバー	ja	斯普拉机动枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Normal_00	verified
Enperry Splat Dualies	en	斯普拉机动枪 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Normal_01	verified
スプラマニューバーコラボ	ja	斯普拉机动枪 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Normal_01	verified
Twinklez Splat Dualies	en	斯普拉机动枪 耀		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Normal_02	verified
スプラマニューバー耀	ja	斯普拉机动枪 耀		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Normal_02	verified
Order Dualie Replicas	en	秩序机动枪 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Normal_O	verified
オーダーマニューバー レプリカ	ja	秩序机动枪 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Normal_O	verified
Dapple Dualies	en	溅镀枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Short_00	verified
スパッタリー	ja	溅镀枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Short_00	verified
Dapple Dualies Nouveau	en	溅镀枪·新艺术		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Short_01	verified
スパッタリー・ヒュー	ja	溅镀枪·新艺术		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Short_01	verified
Dapple Dualies NOC-T	en	溅镀枪OWL		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Short_02	verified
スパッタリーOWL	ja	溅镀枪OWL		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Short_02	verified
Dark Tetra Dualies	en	四重弹跳手枪 黑		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Stepper_00	verified
クアッドホッパーブラック	ja	四重弹跳手枪 黑		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Stepper_00	verified
Light Tetra Dualies	en	四重弹跳手枪 白		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Stepper_01	verified
クアッドホッパーホワイト	ja	四重弹跳手枪 白		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Maneuver_Stepper_01	verified
Grizzco Roller	en	熊先生印章滚筒		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Bear_Coop	verified
クマサン印のローラー	ja	熊先生印章滚筒		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Bear_Coop	verified
Carbon Roller	en	碳纤维滚筒		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Compact_00	verified
カーボンローラー	ja	碳纤维滚筒		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Compact_00	verified
Carbon Roller Deco	en	碳纤维滚筒 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Compact_01	verified
カーボンローラーデコ	ja	碳纤维滚筒 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Compact_01	verified
Carbon Roller ANG-L	en	碳纤维滚筒ANGL		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Compact_02	verified
カーボンローラーANGL	ja	碳纤维滚筒ANGL		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Compact_02	verified
Dynamo Roller	en	电动马达滚筒		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Heavy_00	verified
ダイナモローラー	ja	电动马达滚筒		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Heavy_00	verified
Gold Dynamo Roller	en	电动马达滚筒 高磁波		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Heavy_01	verified
ダイナモローラーテスラ	ja	电动马达滚筒 高磁波		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Heavy_01	verified
Starz Dynamo Roller	en	电动马达滚筒 冥		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Heavy_02	verified
ダイナモローラー冥	ja	电动马达滚筒 冥		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Heavy_02	verified
Flingza Roller	en	可变式滚筒		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Hunter_00	verified
ヴァリアブルローラー	ja	可变式滚筒		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Hunter_00	verified
Foil Flingza Roller	en	可变式滚筒 金属箔		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Hunter_01	verified
ヴァリアブルローラーフォイル	ja	可变式滚筒 金属箔		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Hunter_01	verified
Splat Roller	en	斯普拉滚筒		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Normal_00	verified
スプラローラー	ja	斯普拉滚筒		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Normal_00	verified
Krak-On Splat Roller	en	斯普拉滚筒 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Normal_01	verified
スプラローラーコラボ	ja	斯普拉滚筒 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Normal_01	verified
Order Roller Replica	en	秩序滚筒 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Normal_O	verified
オーダーローラー レプリカ	ja	秩序滚筒 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Normal_O	verified
Big Swig Roller	en	宽滚筒		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Wide_00	verified
ワイドローラー	ja	宽滚筒		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Wide_00	verified
Big Swig Roller Express	en	宽滚筒 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Wide_01	verified
ワイドローラーコラボ	ja	宽滚筒 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Wide_01	verified
